date,volz_book_1d,volz_book_5d,volz_book_20d,volz_spread_1d,volz_spread_5d,volz_spread_20d,volz_top10_1d,volz_top10_5d,volz_top10_20d,volz_bottom10_1d,volz_bottom10_5d,volz_bottom10_20d,volz_universe_1d,volz_universe_5d,volz_universe_20d,volz_spy_1d,volz_spy_5d,volz_spy_20d,volz_qqq_1d,volz_qqq_5d,volz_qqq_20d,volz_smh_1d,volz_smh_5d,volz_smh_20d,volz_psq_1d,volz_psq_5d,volz_psq_20d,volz_soxs_1d,volz_soxs_5d,volz_soxs_20d
2016-10-03,-0.3515101769021788,1.15125232277622,0.08060624616693872,-1.5537540395785663,-1.6798258187567587,-0.6628572539946618,-1.478739708522197,0.36709591939804453,-0.020602752369708727,-0.12016871773972522,1.756257017099069,0.5342745977614798,-0.5621455614977134,1.14557379919833,0.47722061469758914,-0.39290519549273434,0.5253834337187263,-0.251033584182939,-0.21185107788067525,0.6822531699423506,0.4878057236215042,-0.701914077902626,1.5576950546766133,0.6563423954197775,0.15580428150280629,-0.6749663270894666,-0.554206955240585,0.5528840326639516,-1.558481525468519,-0.67992788916661
2016-10-04,-0.5050442290247662,0.03593845913821965,-0.09130482648115922,0.057185837032237424,-2.2712702361719637,-0.6018758547606488,-0.131094415465387,-0.5454556404345208,-0.18101458725077577,-0.18170563928871203,1.3878332203131594,0.3308105075091696,-0.5460988922475255,0.19473843915180927,0.23661184757038195,-0.8426673241883786,-0.30522225972155215,-0.5510485190347083,-0.22658677389872958,-0.0732292202735452,0.23126949283290552,-0.38623873923078245,0.7181874062042104,0.5812793393171798,0.18853511522603875,0.04209081634200811,-0.29891840476907827,0.2578457273897475,-0.8332460141373854,-0.6834343971966701
2016-10-05,0.24116735007509163,0.05390560199635956,0.2803091303810697,0.08883871548107294,-1.7685192625588844,-0.5080274645538508,0.6606177515675498,-0.28234147155805517,0.2392860444119136,0.5948493206756589,1.2206036049054072,0.6758465439763911,0.6761620131650735,0.13835085961848084,0.49781649821874474,0.7310233797740263,-0.34443340011818785,-0.38639782981941706,0.532929819071928,0.05091791518785643,0.33257862545524697,0.7062634412872447,0.9810554850051473,0.8822013202351141,-0.5681545140563242,-0.08491995214462296,-0.41291569117744303,-0.7063172483512006,-1.0517305262519914,-0.9555192185280782
2016-10-06,0.46085638399698625,0.09896398485814537,0.534085328244661,-0.07446705756629084,-1.1119505796735194,-0.7357499396889258,0.19507644354487125,0.008555442831084233,0.24561935993182452,0.26279965414436063,0.9486485625760932,0.8735345761336676,0.16193997874255825,0.39482203899219354,0.6436175317755756,0.11446363502819128,0.37740430345734655,-0.27642434638474267,-0.07582487465055884,0.5071043103500146,0.5147927959876042,0.5305722254828463,0.7140529823811687,1.0508719752195883,0.06337116630844411,-0.5198890100474517,-0.5707133273575418,-0.5443742883617382,-0.7949466912244441,-1.0923684905338709
2016-10-07,-0.33131602684829925,-0.21910009572714897,1.2112710339489858,0.7676657954030303,-0.34547261257272793,-0.7400937448354342,-0.4121978630670763,-0.5199456118836329,0.7290717332945561,-1.1320298497403993,-0.24301708416273154,1.4451558026945344,-0.6594535669406707,-0.4242452231686392,1.2831992373357806,-0.5926091029867475,-0.45007524422551765,0.5155582947802173,-0.3411842432361586,-0.14672976296738824,1.3677011452665313,0.06871370244424803,0.09227458479459755,1.9567212498187412,0.2966869246986458,0.0588765124770933,-1.385140047109902,0.17141213828572338,-0.1321740157767936,-1.6926604255517967
2016-10-10,-0.9905102403198763,-0.5008403026339768,0.6378944287363245,-1.2163836523626639,-0.16263315015290566,-0.8158746311187101,0.21511589685714172,0.2458088951998369,0.5477041235559775,1.327136085570761,0.40829801504389834,1.319245583331877,0.2969889483680734,-0.027232170194411664,0.9282395280029805,0.8991215778363087,0.1359633318274525,0.1627159124510824,0.9881337815794794,0.39444253248756506,0.9566505271648068,-0.30442321741629064,0.29373972487563654,1.4263911427372507,-0.9556435342282287,-0.44197595495083464,-1.0010260551864067,0.47021534976020796,-0.18588357765470387,-1.2573031059943895
2016-10-11,-2.1110561602755444,-1.2071966973956707,0.5850955288089833,-1.4993881093537549,-0.8616274740243303,-1.3679044316678224,-2.0080861476689686,-0.5970881326608483,0.32639053953185393,-0.7644162532933936,0.15154920803197805,1.5926250578765402,-2.0941406778771254,-0.7091361983198984,0.8679020983277712,-2.193588045424474,-0.4522863782105577,0.23278417920265182,-2.2205659131118414,-0.5000852761210614,0.7624193849009022,-1.990136289435423,-0.42161835622475774,1.2043184303944865,2.317347107881414,0.4995669584008303,-0.7914015283757262,1.9900752577710674,0.5650919824896151,-1.0732654234804704
2016-10-12,0.3932853184143913,-1.0943527903853947,0.5238778294610905,0.8344409353597694,-0.5023468377979173,-1.080431220987555,-0.49891614499457826,-1.0831832294725432,0.04078088976549237,-1.3176095892244333,-0.7226678270417511,1.0429267224421477,-0.46306692375888436,-1.1871021075051673,0.67018894612757,0.21940438815848404,-0.6659039997278363,0.28763104031370823,-0.1271166869404501,-0.7704248722903863,0.5403929597149987,0.0,-0.7215214051754726,0.9769380695299117,0.1248316291617149,0.7897458796459508,-0.5619165247701523,0.34531496321142185,1.0507102050691042,-0.791163258948965
2016-10-13,-0.8741359807999142,-1.6708246470187902,0.011599795572879063,0.5373220300635069,-0.22670511887236253,-1.0990586490942802,-0.87062929266464,-1.546970401855712,-0.5048550465039362,-1.434419992463085,-1.4650208818009047,0.4621717851736045,-1.2278529792300592,-1.7959715735822768,-0.021558993656041622,-0.5515674742308164,-0.9665699608977197,-0.20879477304427643,-0.5374611868158238,-0.9791123367348408,-0.0990468454016303,-1.069817479083944,-1.4262222969133618,0.20678347245513812,0.5021440424401905,0.993608500132756,0.06305787051776303,1.0996831165632484,1.8601262255943556,-0.1205929001449095
2016-10-14,0.7706908035088447,-1.1939054982350346,0.1584786718700955,-0.26292012243921553,-0.6670216105613653,-1.2884301439623933,-0.029536462191476272,-1.3820336340338668,-0.6463437796924193,0.20676240380919286,-0.8751635176564341,0.4761059973959374,0.32614431917710585,-1.3555679405386882,0.10850024117859627,0.08687540526724297,-0.6709273250706221,-0.044037120574751856,0.17941897418027222,-0.7525134290825154,-0.04286765881865924,0.5901129219007597,-1.1845691632325328,0.328336824668049,-0.15614035875907645,0.7916768261788596,0.027978372142325094,-0.7589854690844131,1.370155261515933,-0.2743703462832798
2016-10-17,-0.5425136361166581,-1.0207544760661726,-0.17623546143609234,0.3708093407882567,0.0012729865491618018,-0.8363521627993038,-0.5284907154790405,-1.6994016417202265,-0.6177628351645986,-0.910484076213212,-1.8448657822716121,0.09008898724468595,-0.7358068968043637,-1.805302031018201,-0.14599340333106117,-0.5844266880682835,-1.3163780478294678,-0.18164466343069172,-0.4120734506961047,-1.357920316691637,0.011534666641213548,-0.40245758246720986,-1.2901424746321382,0.17896309804594646,0.44024956787530023,1.4173051646789852,-0.02802485107090476,0.5238025144122184,1.4167317567476228,-0.14487542039623194
2016-10-18,0.9381977568466109,0.3034113537375047,0.11167194951336443,-1.1350794801007227,0.16609290687494777,-0.9817093713714696,0.5383991498935716,-0.6161072301274818,-0.38707214995854483,1.607607720673736,-0.8158644047698593,0.4690159155428292,1.3588655317284246,-0.3362617083991775,0.11460976434030636,1.0516045843858937,0.09853448256186843,0.05103215007682134,1.3446093248571862,0.19539937797037624,0.24825109358109843,1.0966497223370664,0.08313001424570583,0.5094049095636627,-1.3824392884578909,-0.21201262114616357,-0.2672907356922805,-1.1380780186399022,0.0,-0.47215120816749373
2016-10-19,-0.18423510685868222,0.044692278858193615,-0.3598484904771573,-1.1856159785304086,-0.7451721428600149,-1.3731253291504761,0.06824610392294865,-0.36661573123085145,-0.663279919152207,1.1599955120199592,0.2600397849487692,0.4932403860305778,0.565902788649383,0.12012794116172183,-0.19449916543189238,0.44559749571123536,0.19927725820279865,-0.2665996465195296,-0.012965420001739976,0.24980492818922048,-0.08659949654183927,-1.0061840932284316,-0.3671101879640518,-0.019480566854758293,0.03205734240174493,-0.256821907727608,0.06454845490696558,0.46018581529095814,0.05087086579076294,-0.09578339109625024
2016-10-20,0.5561745773852429,0.6936042767637718,-0.25934480132013804,-0.061537082705239665,-1.0287586304192111,-1.4424251109495556,-0.08868267861718682,-0.018615124613143953,-0.8535775945398707,-0.044055542208036154,0.9270815285960439,0.35950733481447794,0.02779778475023245,0.702971847287305,-0.3474938966124074,-0.3123473196388418,0.3056331969523211,-0.5684328552864772,-0.18149270567866393,0.4145751861556804,-0.3958550805184595,0.8543916857459043,0.5197180767925309,0.06761092642576892,0.12823264166462242,-0.4271177973864267,0.3765696869383788,-0.6438310954944704,-0.7055419911942168,-0.15637555058607194
2016-10-21,-0.08885506683147702,0.31017912092028893,-0.1386560891234461,-0.7228346797160552,-1.229023250402876,-1.5504062047156866,-0.3588192769245469,-0.16578076115105414,-0.6093863597303651,0.25858697329503244,0.9448597955296957,0.7368417552175981,0.42967939077290224,0.7480801341261605,-0.05079090259463331,0.07861412069897236,0.3031190596678212,-0.34954472977307854,0.5720064885760073,0.5900443750698775,-0.0520446238970821,-0.12890299332323354,0.1802998002918027,0.29572476299974015,-0.48145161323078073,-0.5711368386708847,0.028832088602783218,0.2512592006996655,-0.26067724053083163,-0.326515724216872
2016-10-24,1.7266246606718998,1.3557954288143426,0.4588278541155208,0.700022277002939,-1.1008361389831107,-1.4937598028328614,0.5878997536495916,0.3361995936019499,-0.4103170809700064,0.014104807624815661,1.3998745684937164,0.9221011159102549,1.1600654252122047,1.6288517961610063,0.4372787348003445,0.7154510063810136,0.8891606746159041,0.11412613109335193,1.8360031270691197,1.608218251384233,0.6491692763170075,1.2476902886562542,0.924747640316975,0.7873746037556424,-1.9940790433279414,-1.649856932669853,-0.6855557347409041,-1.7061473143097308,-1.223518296056883,-0.8575403577327286
2016-10-25,0.412492573999051,1.0807600516064046,0.09991362750298889,1.1580642791595832,-0.03951863338135526,-1.5284427537186813,0.1672181759685966,0.16514759858724776,-0.7916055395980699,-0.8968518224023936,0.2254342606839546,0.5326670474867491,-0.5138499423949225,0.7534067469170322,-0.05297686819105199,-0.5613618014016274,0.16122251592320078,-0.24329466564154023,-0.47430069494163246,0.7531438661725939,0.19432633519687229,-0.2830241656532388,0.32286690241527766,0.380266480838425,0.5389426795039278,-0.768075287873277,-0.2314591703377807,0.08748037053072898,-0.7588041010164873,-0.5506196124792141
2016-10-26,-0.8254440797800747,0.7885764234011361,-0.1305794158393959,-0.036034478246085265,0.46257456321888707,-1.2860667468633782,-0.16963711885496374,0.05811217874420213,-0.8440710227467487,-0.15818811020577062,-0.3665044050373553,0.24705900946801052,-0.3751902249019903,0.3221053815553309,-0.3221592813849084,-0.3356348755710807,-0.1883731116971596,-0.5003100145194799,-1.0184032399164673,0.3013729626750365,-0.09033817071068471,-0.2988787161502834,0.6664796198204468,0.28160368255618395,0.9505721221021634,-0.3641297836329187,0.04229621012906324,0.15268558671169075,-0.9022720725566904,-0.4767090904721534
2016-10-27,-1.2896162334547394,-0.056074876673923434,-0.4954126547775362,0.3191148005083919,0.6285443484771738,-0.8499264440663786,-0.8545104999493786,-0.28457170673622095,-0.927839334071803,-1.2673273146108506,-0.9100621015405326,-0.2581364551978791,-0.795375169355137,-0.048800824150300987,-0.4034273202634584,-0.4455788337475226,-0.24805878848847887,-0.2627779394921627,-0.6778002341643388,0.0733712154451847,0.0,-0.299526515684662,0.12799889313682725,-0.06697616501345612,0.6563986490551603,-0.12499866167416926,-0.04168841886416087,0.4136407939083393,-0.4294455142069635,-0.11360820740612876
2016-10-28,-0.21371088591498663,-0.111753677435672,-0.6161672442642564,-0.6550403196885046,0.6635543300606103,-0.7821009222168259,-0.41487158323887313,-0.3064638335670967,-1.1735561167825244,0.1339392340793135,-0.9527243464856451,-0.6025771913708672,-0.04212168257735738,-0.25703403384714724,-0.6743999364026129,-0.49334713949916026,-0.502487417466095,-0.6489404738345564,-0.9295519755604676,-0.5882801743591394,-0.45165248448884976,-0.586274755918978,-0.07425662015795907,-0.5542431621234335,1.0539269427793538,0.5552478436400676,0.4181938358789708,0.6233889968843969,-0.27771151913862263,0.37164118784898037
2016-10-31,0.2879711468671236,-0.7163591944647338,-0.4775658499984962,0.7188375631547007,0.6657394941712366,-0.27207510429678844,-0.08225841716525664,-0.6016750231866453,-0.8782030640675039,-0.757192644081369,-1.2943707875254962,-0.7396706761581365,0.04871157035146514,-0.7417962164161302,-0.5343619688715229,0.007834227441437667,-0.8117107795127658,-0.5579253677347136,-0.1385255097690299,-1.4236077754043173,-0.4340822763125733,0.7231022855492876,-0.33205825577397996,-0.21863965060073293,0.09179143889047028,1.4691020031203939,0.4017591394427403,-0.5461232231176717,0.3221359948446625,0.1016869741713747
2016-11-01,-1.0062155023233825,-1.355359183905857,-0.5982049771718299,-1.804567035577015,-0.6373061821492597,-0.6734565448159451,-1.3226470748653503,-1.2754182316426572,-1.156710474152107,0.21433060282032745,-0.820933713272891,-0.6555316165204765,-1.1224955144308628,-1.0279762557623324,-0.6681900675633785,-1.218436058010399,-1.1095800122962918,-0.6427743243037989,-1.1216812586169875,-1.7232982556724086,-0.6366420338909735,-0.9563327390312395,-0.6352707338789381,-0.3376106851200937,1.1452958097621573,1.7625995026647867,0.6227339806991022,0.8949788746904358,0.6964968141113685,0.24042561668526927
2016-11-02,-1.0880867973201838,-1.4662114611972752,-0.885631083944663,-0.45584081891512196,-0.8006131028490252,-0.7620520309728076,-0.8672937072169385,-1.5624123529223806,-1.4672005380453352,-0.5384020307157376,-0.9896700824773619,-0.9195434743833502,-1.317175422833883,-1.4306568492102765,-1.1026606988288805,-1.0030555876350684,-1.3947792811940765,-1.0178572285817846,-1.1836430447135329,-1.786345024733756,-1.0041623562143251,-0.6374963653885579,-0.7789315856208913,-0.6472194155340293,1.2169166020165143,1.87343939379069,1.0225311279469476,0.6745891403866031,0.9328609341903529,0.5829153507540045
2016-11-03,-0.6757864335021467,-1.1892923839732614,-1.124645866132313,-0.1085042133422656,-1.007087638674736,-0.7770781817595318,-1.0964349921829255,-1.6821861122069182,-1.7599879712941338,-1.1105632363966058,-0.9177559249046123,-1.21888865481552,-1.0646699712499357,-1.5358091910180753,-1.3583864104466692,-0.7576345723426646,-1.5245250961907684,-1.2007282247360522,-1.4352553684039588,-2.1041366920900515,-1.2893905228548217,-0.4270491365928961,-0.8339478762506318,-0.8667335325721364,1.3741255133867905,2.1883465680158793,1.3146898747409232,0.2066203478894499,0.8340558716521594,0.7814196889632553
2016-11-04,-0.5627958844495008,-1.3519653281336625,-1.1868661401605989,-0.7767585166436923,-1.0614211670535523,-1.1086823037184743,-0.5649562081802292,-1.7666280137367378,-1.8188008210819189,0.11405076989522614,-0.9445112197618831,-0.9572624834804788,-0.21885999950996057,-1.6437849898442707,-1.2888355104874252,-0.18482839513441285,-1.4081073843774556,-1.1318564124144144,-0.5132163800986189,-1.9281551035287412,-1.3313249335935584,-0.5403826617687786,-0.8181258189117901,-1.0057188987311867,0.5620055307759191,1.9683665728866597,1.3803228650971624,0.5816373082656608,0.8184236517990072,0.8882685300307602
2016-11-07,2.2672691174908994,-0.49752257470296957,-0.4908917923230074,2.902933168672063,-0.12843991885961148,-0.24960917564571045,2.385221324525771,-0.70084338573927,-1.371419813603141,-0.12216866319683314,-0.6560613808351036,-1.2855309103189578,2.541333320376699,-0.5628022633681586,-0.8125629935661143,3.6992122665304317,0.21173306548808515,-0.5222073922992536,3.4709393952541636,-0.35740264083537193,-0.7864491565658052,3.0947747875893,0.21597892000718338,-0.2689022802863065,-3.6464053685399556,0.24369437282777737,0.7308546346084601,-2.8907480885282864,-0.302606824802894,0.050141901358087757
2016-11-08,-0.15287934477485104,-0.11359322933169845,-0.05268538667700745,-0.43305258222495385,0.44303532423395714,-0.018551210024435882,0.3294305561237881,0.050669380830778654,-0.8249869856635071,0.8211970032823053,-0.3911205341912451,-0.9366218338279947,0.5337178252837892,0.18077795973381464,-0.21123225493067302,0.6813455325608213,0.9939509390350613,0.10780430311410089,0.8729577075387273,0.5147738449392893,-0.1042337844623384,0.16876593698253073,0.6826357194550581,0.23490280920751053,-0.7661492404216804,-0.5729097293708539,0.049307076367335466,-0.18970752947340008,-0.7287334459657759,-0.41519109298459217
2016-11-09,-0.16052781112489767,0.28980752240383223,-0.17631198227293646,-0.5830413697011835,0.38759247296785826,-0.32516818155988997,0.5932068545120485,0.7061725897127538,-0.5872789566001211,1.2754417665797528,0.4223807269277866,-0.3483977635075969,0.3036817013271026,0.9011294645571097,-0.040616002268788934,1.5987756347159472,2.1350015453282207,0.4212612026310169,0.6131495659454077,1.2752999755051182,0.05824930408054387,-0.7758780206133971,0.6061477899515831,0.060575767767258114,-0.5758436993711589,-1.3009031893274248,-0.10433190468273473,0.4475713384626849,-0.8153508815698998,-0.39930690409557856
